date,flight,type,route,mc,lent_num,arrive_runway,bag_waight,mc_arrive,hatch_open,err_hatch_open,beg_unload_spo,end_unload_spo,beg_unload_sobgp,end_unload_sobgp,end_unload_tgo,err_end_unload,violation_standart,time_beg_lenta,time_end_lenta,violation_first_bag,violation_last_bag,deliver_1_beg,deliver_1_end,deliver_2_beg,deliver_2_end,deliver_3_beg,deliver_3_end,senior_loader,company,bag_status
2026-06-17,TK 1231 ,321,АНТАЛЬЯ,24,Y(А13),12:52,1453,2026-06-17 13:01:00,2026-06-17 13:01:00,,2026-06-17 13:05:00,2026-06-17 13:18:00,2026-06-17 13:05:00,2026-06-17 13:18:00,2026-06-17 13:15:00,3.0,3.0,2026-06-17 13:16:00,2026-06-17 13:23:00,,0.0,2026-06-17 13:23:00,2026-06-17 13:33:00,,,,,Королёв Е. А.,Turkish Airlines,Выдача до 30 минут
2026-06-17,TK 3012 ,321,АНТАЛЬЯ,26,Y(А09),13:04,2406,2026-06-17 13:16:00,2026-06-17 13:16:00,,2026-06-17 13:20:00,2026-06-17 13:36:00,2026-06-17 13:20:00,2026-06-17 13:36:00,2026-06-17 13:36:00,,,2026-06-17 13:37:00,2026-06-17 13:38:00,1.0,0.0,2026-06-17 13:22:00,2026-06-17 13:33:00,2026-06-17 13:37:00,2026-06-17 13:39:00,,,Виноградов А. А.,Turkish Airlines,Выдача до 30 минут
2026-06-17,TK 3024 ,321,АНТАЛЬЯ,20,Y(А10),13:16,2890,2026-06-17 13:24:00,2026-06-17 13:27:00,,2026-06-17 13:29:00,2026-06-17 13:49:00,2026-06-17 13:29:00,2026-06-17 13:49:00,2026-06-17 13:47:00,2.0,1.0,2026-06-17 13:46:00,2026-06-17 13:58:00,2.0,4.0,2026-06-17 13:27:00,2026-06-17 13:46:00,2026-06-17 13:44:00,2026-06-17 13:58:00,,,Королев А. А.,Turkish Airlines,Выдача от 30 до 40 минут
2026-06-17,TK 3046 ,321,АНТАЛЬЯ,27,Y(А10),13:19,2693,2026-06-17 13:28:00,2026-06-17 13:30:00,,2026-06-17 13:32:00,2026-06-17 13:46:00,2026-06-17 13:32:00,2026-06-17 13:46:00,2026-06-17 13:50:00,,,2026-06-17 13:43:00,2026-06-17 13:51:00,,0.0,2026-06-17 13:26:00,2026-06-17 13:43:00,2026-06-17 13:43:00,2026-06-17 13:51:00,,,Михайлов М. С.,Turkish Airlines,Выдача до 30 минут
2026-06-17,TK 3164 ,32Б,БОДРУМ(МИЛАС),25,Y(А13),13:22,1230,2026-06-17 13:37:00,2026-06-17 13:41:00,1.0,2026-06-17 13:39:00,2026-06-17 13:50:00,2026-06-17 13:39:00,2026-06-17 13:50:00,2026-06-17 13:49:00,1.0,3.0,2026-06-17 13:54:00,2026-06-17 13:57:00,,0.0,2026-06-17 13:50:00,2026-06-17 13:59:00,,,,,Ушаков Г. А.,Turkish Airlines,Выдача до 30 минут
2026-06-17,TK 417 ,73Х,СТАМБУЛ(СТАМБУЛ НЬЮ),29,Y(А09),13:27,2480,2026-06-17 13:37:00,2026-06-17 13:37:00,,2026-06-17 13:39:00,2026-06-17 14:01:00,2026-06-17 13:40:00,2026-06-17 14:01:00,2026-06-17 13:58:00,3.0,4.0,2026-06-17 13:53:00,2026-06-17 14:04:00,,0.0,2026-06-17 13:49:00,2026-06-17 13:52:00,2026-06-17 14:02:00,2026-06-17 14:04:00,,,"Баташан В. Ю., Бородин А. В.",Turkish Airlines,Выдача до 30 минут
2026-06-17,ХИ 9607 ,32Н,БУХАРА(БУХАРА ИНТЛ.),30,Y(А09),13:45,2324,2026-06-17 13:57:00,2026-06-17 13:59:00,,2026-06-17 14:03:00,2026-06-17 14:20:00,2026-06-17 14:03:00,2026-06-17 14:20:00,2026-06-17 14:16:00,4.0,2.0,2026-06-17 14:15:00,2026-06-17 14:26:00,,0.0,2026-06-17 14:12:00,2026-06-17 14:15:00,2026-06-17 14:22:00,2026-06-17 14:26:00,,,Саидов А. С.,UZBEKISTAN AIRWAYS,Выдача до 30 минут
2026-06-17,А4 7034 ,СУ9,ПСКОВ(КРЕСТЫ),59A,Y(А04),13:47,241,2026-06-17 13:59:00,2026-06-17 14:01:00,,2026-06-17 14:04:00,2026-06-17 14:07:00,2026-06-17 14:04:00,2026-06-17 14:07:00,2026-06-17 14:05:00,2.0,1.0,2026-06-17 14:13:00,2026-06-17 14:14:00,,0.0,2026-06-17 14:09:00,2026-06-17 14:14:00,,,,,Фаёзов А. Р.,Азимут,Выдача до 30 минут
2026-06-17,NE 602 ,320,ХУРГАДА(ХУРГАДА ИНТЛ.),19,Y(А11),13:50,2013,2026-06-17 14:02:00,2026-06-17 14:02:00,,2026-06-17 14:04:00,2026-06-17 14:23:00,2026-06-17 14:04:00,2026-06-17 14:23:00,2026-06-17 14:19:00,4.0,6.0,2026-06-17 14:19:00,2026-06-17 14:31:00,,0.0,2026-06-17 14:13:00,2026-06-17 14:18:00,2026-06-17 14:23:00,2026-06-17 14:30:00,,,Попов Д. В.,Nesma Airlines,Выдача до 30 минут
2026-06-17,НВЦ 9152 ,32Щ,САБЕТТА,14,Y(А06),13:56,1437,2026-06-17 14:23:00,2026-06-17 14:29:00,3.0,2026-06-17 14:30:00,2026-06-17 14:46:00,2026-06-17 14:30:00,2026-06-17 14:46:00,2026-06-17 14:37:00,9.0,6.0,2026-06-17 14:41:00,2026-06-17 14:51:00,,0.0,2026-06-17 14:37:00,2026-06-17 14:40:00,2026-06-17 14:48:00,2026-06-17 14:55:00,,,Прохачев И. А.,Северо-Запад,Выдача до 30 минут
